"RR#","Load#","Tm#","Sts","Pickup Date","Pickup Time","Delivery Date","Delivery Time","Dispatcher","Invoice Date","Docs Scanned","Invoice Audit","Revenue$","Purch Tr$","Target Buy","Max Buy","Net Mrg$","CM$","Nbr of Stops","Weight","Equipment","Cust Name","Cust Ref#","Spot Bid","Driver","Tot Miles","Fuel Surcharge","Origin","Destination","Vendor Dispatch",
"4021062","3060-0312-0925","   3060","ASSG","09/20/25","0000","09/20/25","0745","BBANUELOS","","!","17","       932.18","     1,000.00","          .00","       .00","       -67.82","       .00","    2","         1","V","USPS","81582916","CONTRACT","Y & Y SAFETY FREIGHT I","  306","       .00","BOSTON,MA","PHILADELPHIA,PA","dispatch@smsloads.com",
"4021144","3060-0119-0925","   3060","ASSG","09/20/25","0000","09/20/25","1930","BBANUELOS","","!","17","     1,345.30","     1,750.00","          .00","       .00","      -404.70","       .00","    2","         1","V","USPS","81593500","CONTRACT","SMT TRANS LLC","  981","       .00","FLUSHING,NY","HAZELWOOD,MO","SMTTRANS19@GMAIL.COM",
"4021228","3060-0829-0925","   3060","ASSG","09/20/25","0000","09/20/25","0815","YRODRIGUEZ","","!","17","       737.05","       950.00","          .00","       .00","      -212.95","       .00","    3","         2","V","USPS","81604100","CONTRACT","SHORTHORN LLC","  312","       .00","BOSTON,MA","BELLMAWR,NJ","dispatch@shorthorncargo.com",
"4021238","3010-0840-0925","   3010","ASSG","09/20/25","0000","09/20/25","1400","YRODRIGUEZ","","!","17","       593.00","       850.00","          .00","       .00","      -257.00","       .00","    3","         2","V","USPS","81606105","CONTRACT","DO NOT UPDATE TO RTS","  590","       .00","TAMPA,FL","GASTONIA,NC","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021157","3010-0777-0925","   3010","ASSG","09/20/25","0015","09/20/25","1045","YRODRIGUEZ","","!","17","     1,075.26","     1,275.00","          .00","       .00","      -199.74","       .00","    3","         2","V","USPS","81595028","CONTRACT","SILKROAD TRANZ INC","  408","       .00","COLUMBUS,OH","LANCASTER,PA","dispatch@silkroadtranz.com",
"4021239","3010-0841-0925","   3010","ASSG","09/20/25","0015","09/21/25","0230","BBANUELOS","","!","17","     2,318.53","     2,800.00","          .00","       .00","      -481.47","       .00","    2","         1","V","USPS","81604922","CONTRACT","VANTAGE CARRIER LLC"," 1313","       .00","NORTH READING,MA","URBANDALE,IA","dispatch@vantagecarrier.com",
"4021046","3010-0364-0925","   3010","ASSG","09/20/25","0030","09/21/25","2330","DISAAC","","!","","     4,234.50","     5,550.00","          .00","       .00","    -1,315.50","       .00","    2","         1","V","USPS","81579547","CONTRACT","LOADMODE LLC"," 2217","       .00","HENDERSON,NV","JACKSONVILLE,FL","DISPATCH@LOADMODELLC.COM",
"4021103","3010-0732-0925","   3010","ASSG","09/20/25","0030","09/21/25","1845","YRODRIGUEZ","","!","17","     4,500.00","     5,000.00","          .00","       .00","      -500.00","       .00","    2","         1","V","USPS","81585947","CONTRACT","SUCCESSOR INC"," 2016","       .00","SALT LAKE CITY,UT","GASTONIA,NC","dispatch@successorinc.com",
"4021111","3010-0739-0925","   3010","ASSG","09/20/25","0030","09/20/25","1330","STEPHENW","","!","17","     1,774.87","     2,350.00","          .00","       .00","      -575.13","       .00","    2","         1","V","USPS","81588257","CONTRACT","MZ CARGO INC","  598","       .00","KANSAS CITY,MO","DENVER,CO","dispatch@mzcargoinc.com",
"4021138","3060-0103-0925","   3060","ASSG","09/20/25","0030","09/20/25","0815","THOMAST","","!","17","     1,132.03","     1,000.00","          .00","       .00","       132.03","       .00","    2","         1","V","USPS","81591619","CONTRACT","TWISTED FARMS LLC","  317","       .00","NORTH READING,MA","SYRACUSE,NY","ops@TWISTEDFARMS.ORG",
"4021148","3060-0243-0925","   3060","ASSG","09/20/25","0030","09/20/25","0845","STEPHENW","","!","17","     1,127.26","     1,050.00","          .00","       .00","        77.26","       .00","    2","         1","V","USPS","81593711","CONTRACT","DDA LOGISTICS INC","  312","       .00","NORTH READING,MA","PHILADELPHIA,PA","dwayne@ddalogistics.com",
"4021153","3060-0306-0925","   3060","ASSG","09/20/25","0030","09/20/25","0645","DISAAC","","!","17","       975.47","       800.00","          .00","       .00","       175.47","       .00","    2","         1","V","USPS","81593784","CONTRACT","SMT TRANS LLC","  228","       .00","NORTH READING,MA","JERSEY CITY,NJ","SMTTRANS19@GMAIL.COM",
"4021178","3010-0795-0925","   3010","ASSG","09/20/25","0030","09/20/25","2345","BBANUELOS","","!","17","     2,806.65","     3,200.00","          .00","       .00","      -393.35","       .00","    2","         1","V","USPS","81597617","CONTRACT","VANTAGE CARRIER LLC"," 1150","       .00","ALLEN PARK,MI","ORLANDO,FL","dispatch@vantagecarrier.com",
"4021202","3010-0812-0925","   3010","ASSG","09/20/25","0030","09/21/25","1600","YRODRIGUEZ","","!","17","     4,500.00","     4,000.00","          .00","       .00","       500.00","       .00","    2","         1","V","USPS","81600579","CONTRACT","ZERO MAX INC"," 1894","       .00","SALT LAKE CITY,UT","FAIRBURN,GA","dispatch@zeromaxinc.com",
"4021216","3060-0164-0925","   3060","ASSG","09/20/25","0030","09/20/25","0930","BBANUELOS","","!","17","     1,317.26","     1,300.00","          .00","       .00","        17.26","       .00","    2","         1","V","USPS","81602778","CONTRACT","CARAVAN FREIGHT","  345","       .00","NORTH READING,MA","HISTORIC NEW CASTLE,DE","operations@caravanfreight.net",
"4021249","3060-0109-0925","   3060","ASSG","09/20/25","0030","09/20/25","0915","THOMAST","","!","17","       654.85","       800.00","          .00","       .00","      -145.15","       .00","    2","         1","V","USPS","81608348","CONTRACT","TWISTED FARMS LLC","  370","       .00","JERSEY CITY,NJ","BUFFALO,NY","ops@TWISTEDFARMS.ORG",
"4021251","3060-0830-0925","   3060","ASSG","09/20/25","0030","09/20/25","0915","YRODRIGUEZ","","!","17","       676.67","       990.00","          .00","       .00","      -313.33","       .00","    2","         1","V","USPS","81608293","CONTRACT","SHORTHORN LLC","  351","       .00","JERSEY CITY,NJ","NORFOLK,VA","DISPATCH@SHORTHORNCARGO.COM",
"4021065","3060-0719-0925","   3060","ASSG","09/20/25","0045","09/20/25","0615","STEPHENW","","!","17","     1,185.90","       900.00","          .00","       .00","       285.90","       .00","    2","         1","V","USPS","81582659","CONTRACT","AZIM CARGO INC","  210","       .00","SPRINGFIELD,MA","TRENTON,NJ","teamb@azimcargo.com",
